"Theta";"Rate"
0;0.9994444444444445
1;0.9883333333333333
2;0.9755555555555555
3;0.9638888888888889
4;0.9505555555555556
5;0.9377777777777778
6;0.9227777777777778
7;0.9072222222222223
8;0.8916666666666667
9;0.875
10;0.8583333333333333
11;0.8416666666666667
12;0.8238888888888889
13;0.8044444444444444
14;0.7861111111111111
15;0.7661111111111111
16;0.7461111111111111
17;0.7266666666666667
18;0.705
19;0.6827777777777778
20;0.6605555555555556
21;0.6377777777777778
22;0.615
23;0.5916666666666667
24;0.5688888888888889
25;0.5438888888888889
26;0.5194444444444445
27;0.5005555555555555
28;0.5
29;0.5005555555555555
30;0.5005555555555555
31;0.5005555555555555
32;0.5005555555555555
33;0.5005555555555555
34;0.5005555555555555
35;0.5
36;0.5005555555555555
37;0.5005555555555555
38;0.5005555555555555
39;0.5005555555555555
40;0.5005555555555555
41;0.5005555555555555
42;0.5005555555555555
43;0.5005555555555555
44;0.5005555555555555
45;0.5
46;0.5005555555555555
47;0.5
48;0.5005555555555555
49;0.5
50;0.5
51;0.5005555555555555
52;0.5
53;0.5005555555555555
54;0.5
55;0.5
56;0.5
57;0.5
58;0.5
59;0.5005555555555555
60;0.5005555555555555
61;0.5
62;0.5005555555555555
63;0.5
64;0.5194444444444445
65;0.5444444444444444
66;0.5688888888888889
67;0.5916666666666667
68;0.6161111111111112
69;0.6388888888888888
70;0.6611111111111111
71;0.6833333333333333
72;0.7055555555555556
73;0.7261111111111112
74;0.7466666666666667
75;0.7661111111111111
76;0.7861111111111111
77;0.8055555555555556
78;0.8238888888888889
79;0.8422222222222222
80;0.8588888888888889
81;0.8755555555555555
82;0.8922222222222222
83;0.9077777777777778
84;0.9233333333333333
85;0.9377777777777778
86;0.9505555555555556
87;0.9638888888888889
88;0.9766666666666667
89;0.9894444444444445
